          policy-137990 [001] 112135.748056: sched_switch:         taskset:137990 [120] R ==> migration/1:25 [0]
          policy-137997 [000] 112146.293151: sched_switch:         policy:137997 [69] R ==> policy:137998 [69]
          policy-137998 [000] 112146.393148: sched_switch:         policy:137998 [69] R ==> policy:137999 [69]
          <idle>-0     [000] 112146.498059: sched_switch:         swapper/0:0 [120] R ==> policy:137999 [69]
          policy-137999 [000] 112146.542143: sched_switch:         policy:137999 [69] R ==> policy:138000 [69]
          policy-138000 [000] 112146.576658: sched_switch:         policy:138000 [69] R ==> migration/0:20 [0]
     migration/0-20    [000] 112146.576662: sched_switch:         migration/0:20 [0] S ==> policy:138000 [69]
          policy-138000 [000] 112146.642141: sched_switch:         policy:138000 [69] R ==> policy:138001 [69]
          policy-138001 [000] 112146.742138: sched_switch:         policy:138001 [69] R ==> policy:138015 [69]
          policy-137993 [000] 112146.842136: sched_switch:         policy:137993 [69] R ==> policy:137994 [69]
          policy-137994 [000] 112146.942135: sched_switch:         policy:137994 [69] R ==> policy:137995 [69]
          policy-137995 [000] 112147.042133: sched_switch:         policy:137995 [69] R ==> policy:137996 [69]
          policy-137996 [000] 112147.142129: sched_switch:         policy:137996 [69] R ==> policy:137997 [69]
          policy-137997 [000] 112147.242126: sched_switch:         policy:137997 [69] R ==> policy:137998 [69]
          policy-137998 [000] 112147.342124: sched_switch:         policy:137998 [69] R ==> policy:137999 [69]
          policy-137999 [000] 112147.431193: sched_switch:         policy:137999 [69] D ==> policy:138000 [69]
          policy-138000 [000] 112147.431217: sched_switch:         policy:138000 [69] D ==> policy:138001 [69]
          policy-138001 [000] 112147.431245: sched_switch:         policy:138001 [69] D ==> policy:137992 [69]
          policy-137992 [000] 112147.431264: sched_switch:         policy:137992 [69] S ==> policy:137993 [69]
          policy-137993 [000] 112147.431284: sched_switch:         policy:137993 [69] D ==> policy:137994 [69]
          policy-137994 [000] 112147.431306: sched_switch:         policy:137994 [69] D ==> policy:137995 [69]
          policy-137995 [000] 112147.431327: sched_switch:         policy:137995 [69] D ==> policy:137996 [69]
          policy-137996 [000] 112147.431351: sched_switch:         policy:137996 [69] D ==> policy:137997 [69]
          policy-137997 [000] 112147.431398: sched_switch:         policy:137997 [69] D ==> policy:137998 [69]
          policy-137998 [000] 112147.431423: sched_switch:         policy:137998 [69] D ==> policy:138016 [69]
          policy-137999 [000] 112147.434239: sched_switch:         policy:137999 [69] S ==> policy:138000 [69]
          policy-138000 [000] 112147.434253: sched_switch:         policy:138000 [69] S ==> policy:138001 [69]
          policy-138001 [000] 112147.434266: sched_switch:         policy:138001 [69] S ==> policy:137993 [69]
          policy-137993 [000] 112147.434276: sched_switch:         policy:137993 [69] S ==> policy:137994 [69]
          policy-137994 [000] 112147.434289: sched_switch:         policy:137994 [69] S ==> policy:137995 [69]
          policy-137995 [000] 112147.434297: sched_switch:         policy:137995 [69] S ==> policy:137996 [69]
          policy-137996 [000] 112147.434309: sched_switch:         policy:137996 [69] S ==> policy:137997 [69]
          policy-137997 [000] 112147.434320: sched_switch:         policy:137997 [69] S ==> policy:137998 [69]
          policy-137990 [000] 112147.434389: sched_switch:         policy:137990 [120] S ==> swapper/0:0 [120]
        cinnamon-86751 [000] 112148.431254: sched_switch:         cinnamon:86751 [120] R ==> policy:137992 [69]
          policy-137992 [000] 112148.431383: sched_switch:         policy:137992 [69] X ==> cinnamon:86751 [120]
        cinnamon-86751 [000] 112148.432733: sched_switch:         cinnamon:86751 [120] S ==> policy:137990 [120]
          policy-137990 [000] 112148.432746: sched_switch:         policy:137990 [120] S ==> cinnamon:cs0:86762 [120]
          <idle>-0     [000] 112148.434230: sched_switch:         swapper/0:0 [120] R ==> policy:137999 [69]
          policy-137999 [000] 112148.434326: sched_switch:         policy:137999 [69] X ==> policy:138000 [69]
          policy-138000 [000] 112148.434345: sched_switch:         policy:138000 [69] X ==> policy:138001 [69]
          policy-138001 [000] 112148.434361: sched_switch:         policy:138001 [69] X ==> policy:137993 [69]
          policy-137993 [000] 112148.434382: sched_switch:         policy:137993 [69] X ==> policy:137994 [69]
          policy-137994 [000] 112148.434397: sched_switch:         policy:137994 [69] X ==> policy:137995 [69]
          policy-137995 [000] 112148.434413: sched_switch:         policy:137995 [69] X ==> policy:137996 [69]
          policy-137996 [000] 112148.434430: sched_switch:         policy:137996 [69] X ==> policy:137997 [69]
          policy-137997 [000] 112148.434446: sched_switch:         policy:137997 [69] X ==> policy:137998 [69]
          policy-137998 [000] 112148.434460: sched_switch:         policy:137998 [69] X ==> policy:137990 [120]
          policy-137990 [000] 112148.434928: sched_switch:         policy:137990 [120] Z ==> swapper/0:0 [120]
